Ticket_ID,Subject,Description,Category,Priority,Timestamp
64,Invoice mismatch,Invoice amount differs from order,Billing Inquiry,High,2025-03-05 12:20:00
65,Deactivate account error,Unable to deactivate account,Account Management,High,2025-03-06 11:35:00
66,Crash during checkout,App crashes at checkout step,Bug Report,High,2025-03-07 14:15:00
67,Custom reports,Feature request to build custom reports,Feature Request,Low,2025-03-08 09:00:00
68,File sync issue,Files not syncing across devices,Technical Issue,High,2025-03-09 12:50:00
69,Overcharged subscription,Billed higher than plan,Billing Inquiry,High,2025-03-10 14:40:00
70,Login via SSO fails,SSO login does not work,Account Management,High,2025-03-11 15:10:00
71,App crash on search,Crash when searching for reports,Bug Report,Medium,2025-03-12 09:30:00
72,New API endpoints,Users request new API methods,Feature Request,Medium,2025-03-13 11:40:00
73,Network timeout,Requests timing out frequently,Technical Issue,High,2025-03-14 10:15:00
74,Refund applied late,Refund processed after 20 days,Billing Inquiry,Medium,2025-03-15 12:30:00
75,Email change blocked,Unable to change registered email,Account Management,Low,2025-03-16 13:20:00
76,Crash on profile view,App crashes when viewing profile,Bug Report,Medium,2025-03-17 09:45:00
77,New payment methods,Feature request for PayPal support,Feature Request,Low,2025-03-18 11:10:00
78,App lags on updates,Performance issues after update,Technical Issue,Medium,2025-03-19 10:30:00
79,Duplicate charges,Charged twice for service,Billing Inquiry,High,2025-03-20 14:20:00
80,Account not verified,Verification email not working,Account Management,High,2025-03-21 11:15:00
81,Crash on attachments,App crashes when adding attachments,Bug Report,High,2025-03-22 13:30:00
82,New themes,Users request multiple color themes,Feature Request,Low,2025-03-23 12:10:00
83,Printer errors,Errors while printing invoices,Technical Issue,Medium,2025-03-24 09:20:00
84,Subscription canceled wrongly,Plan canceled without request,Billing Inquiry,High,2025-03-25 15:00:00
85,Phone verification bug,Unable to verify phone number,Account Management,Medium,2025-03-26 13:40:00
86,Crash when uploading,App crashes on image upload,Bug Report,High,2025-03-27 09:50:00
87,Custom export formats,Feature request for JSON export,Feature Request,Medium,2025-03-28 14:30:00
88,Frequent disconnections,Users report frequent server disconnections,Technical Issue,High,2025-03-29 12:25:00
89,Wrong billing name,Billing statement shows wrong name,Billing Inquiry,Medium,2025-03-30 13:15:00
90,Change password fails,Error while changing password,Account Management,High,2025-03-31 11:50:00
91,Crash on notification open,App crashes when opening push notification,Bug Report,High,2025-04-01 09:10:00
92,Integrate calendar,Users want built-in calendar support,Feature Request,Medium,2025-04-02 10:20:00
93,Database errors,Errors in saving records to DB,Technical Issue,High,2025-04-03 12:35:00
94,Refund not visible,Refund not shown in billing history,Billing Inquiry,Medium,2025-04-04 14:40:00
95,Account suspension bug,Account suspended without reason,Account Management,High,2025-04-05 13:00:00
96,Crash on analytics filter,App crashes when applying filters,Bug Report,Medium,2025-04-06 09:15:00
97,Custom integrations,Feature request for Zapier integration,Feature Request,Low,2025-04-07 11:00:00
98,Slow queries,App very slow on large queries,Technical Issue,High,2025-04-08 12:20:00
99,Payment not deducted,Payment not deducted but subscription active,Billing Inquiry,Medium,2025-04-09 14:10:00
100,Username change error,Error when trying to change username,Account Management,Medium,2025-04-10 09:25:00
